uid,bank_id,unit,learning_objectives,title,points,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer_label,num_choices,format_flags,source_file,source_qid
PHY1-SMH-MESHM-12012025::q-11,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Pendulum Angular Position (Equilibrium Start),1,"A simple pendulum consists of a bob of mass $m$ attached to a light string of length $L$ in a region where the acceleration due to gravity is $g$. The pendulum oscillates with a small angular amplitude $\Theta$. At time $t=0$, the pendulum is passing through the vertical equilibrium position ($\theta = 0$) with a tangential velocity $v$. Which of the following expressions correctly describes the **angular position** $\theta(t)$ of the pendulum as a function of time?",$-\Theta\sqrt{\frac{g}{L}} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta\sqrt{\frac{g}{L}} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \cos^2\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \sin^2\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \cos\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \cos\left(\sqrt{\frac{g}{L}} t\right)$,,,E,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-11
PHY1-SMH-MESHM-12012025::q-12,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Pendulum Angular Velocity (Equilibrium Start),1,"A simple pendulum consists of a bob of mass $m$ attached to a light string of length $L$ in a region where the acceleration due to gravity is $g$. The pendulum oscillates with a small angular amplitude $\Theta$. At time $t=0$, the pendulum is passing through the vertical equilibrium position ($\theta = 0$) with a tangential velocity $v$. Which of the following expressions correctly describes the **angular velocity** $\omega_{ang}(t)$ of the pendulum as a function of time?",$-\Theta\frac{g}{L} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \sin\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \cos^2\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\sqrt{\frac{g}{L}} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \sin^2\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta\sqrt{\frac{g}{L}} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \cos\left(\sqrt{\frac{g}{L}} t\right)$,,,G,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-12
PHY1-SMH-MESHM-12012025::q-13,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Pendulum Angular Acceleration (Equilibrium Start),1,"A simple pendulum consists of a bob of mass $m$ attached to a light string of length $L$ in a region where the acceleration due to gravity is $g$. The pendulum oscillates with a small angular amplitude $\Theta$. At time $t=0$, the pendulum is passing through the vertical equilibrium position ($\theta = 0$) with a tangential velocity $v$. Which of the following expressions correctly describes the **angular acceleration** $\alpha(t)$ of the pendulum as a function of time?",$-\Theta\frac{g}{L} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \sin^2\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \cos^2\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta\sqrt{\frac{g}{L}} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\sqrt{\frac{g}{L}} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \cos\left(\sqrt{\frac{g}{L}} t\right)$,,,D,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-13
PHY1-SMH-MESHM-12012025::q-14,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Pendulum Kinetic Energy (Equilibrium Start),1,"A simple pendulum consists of a bob of mass $m$ attached to a light string of length $L$ in a region where the acceleration due to gravity is $g$. The pendulum oscillates with a small angular amplitude $\Theta$. At time $t=0$, the pendulum is passing through the vertical equilibrium position ($\theta = 0$) with a tangential velocity $v$. Which of the following expressions correctly describes the **Kinetic Energy** $K(t)$ of the system as a function of time?",$-\Theta\sqrt{\frac{g}{L}} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta\sqrt{\frac{g}{L}} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \sin^2\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \cos\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \cos^2\left(\sqrt{\frac{g}{L}} t\right)$,,,H,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-14
PHY1-SMH-MESHM-12012025::q-15,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Pendulum Potential Energy (Equilibrium Start),1,"A simple pendulum consists of a bob of mass $m$ attached to a light string of length $L$ in a region where the acceleration due to gravity is $g$. The pendulum oscillates with a small angular amplitude $\Theta$. At time $t=0$, the pendulum is passing through the vertical equilibrium position ($\theta = 0$) with a tangential velocity $v$. Which of the following expressions correctly describes the **Potential Energy** $U(t)$ of the system as a function of time?",$-\Theta\sqrt{\frac{g}{L}} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta\sqrt{\frac{g}{L}} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \sin^2\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \cos^2\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \sin\left(\sqrt{\frac{g}{L}} t\right)$,,,D,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-15
PHY1-SMH-MESHM-12012025::q-16,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Pendulum Angular Position (Max Angle Start),1,"A simple pendulum consists of a bob of mass $m$ attached to a light string of length $L$ in a region where the acceleration due to gravity is $g$. The pendulum oscillates with a small angular amplitude $\Theta$. At time $t=0$, the bob is released from rest at the maximum angular displacement ($\theta = \Theta$). Which of the following expressions correctly describes the **angular position** $\theta(t)$ of the pendulum as a function of time?",$\Theta \sin\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta\sqrt{\frac{g}{L}} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \sin^2\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \cos\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\sqrt{\frac{g}{L}} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \cos^2\left(\sqrt{\frac{g}{L}} t\right)$,,,E,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-16
PHY1-SMH-MESHM-12012025::q-17,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Pendulum Angular Velocity (Max Angle Start),1,"A simple pendulum consists of a bob of mass $m$ attached to a light string of length $L$ in a region where the acceleration due to gravity is $g$. The pendulum oscillates with a small angular amplitude $\Theta$. At time $t=0$, the bob is released from rest at the maximum angular displacement ($\theta = \Theta$). Which of the following expressions correctly describes the **angular velocity** $\omega_{ang}(t)$ of the pendulum as a function of time?",$-\Theta\sqrt{\frac{g}{L}} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \cos\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \sin\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta\sqrt{\frac{g}{L}} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \cos^2\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \sin^2\left(\sqrt{\frac{g}{L}} t\right)$,,,A,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-17
PHY1-SMH-MESHM-12012025::q-18,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Pendulum Angular Acceleration (Max Angle Start),1,"A simple pendulum consists of a bob of mass $m$ attached to a light string of length $L$ in a region where the acceleration due to gravity is $g$. The pendulum oscillates with a small angular amplitude $\Theta$. At time $t=0$, the bob is released from rest at the maximum angular displacement ($\theta = \Theta$). Which of the following expressions correctly describes the **angular acceleration** $\alpha(t)$ of the pendulum as a function of time?",$-\Theta\frac{g}{L} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta\sqrt{\frac{g}{L}} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \sin\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \sin^2\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \cos\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\sqrt{\frac{g}{L}} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \cos^2\left(\sqrt{\frac{g}{L}} t\right)$,,,A,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-18
PHY1-SMH-MESHM-12012025::q-19,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Pendulum Kinetic Energy (Max Angle Start),1,"A simple pendulum consists of a bob of mass $m$ attached to a light string of length $L$ in a region where the acceleration due to gravity is $g$. The pendulum oscillates with a small angular amplitude $\Theta$. At time $t=0$, the bob is released from rest at the maximum angular displacement ($\theta = \Theta$). Which of the following expressions correctly describes the **Kinetic Energy** $K(t)$ of the system as a function of time?",$-\Theta\sqrt{\frac{g}{L}} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta\sqrt{\frac{g}{L}} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \sin^2\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \cos^2\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \cos\left(\sqrt{\frac{g}{L}} t\right)$,,,D,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-19
PHY1-SMH-MESHM-12012025::q-20,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Pendulum Potential Energy (Max Angle Start),1,"A simple pendulum consists of a bob of mass $m$ attached to a light string of length $L$ in a region where the acceleration due to gravity is $g$. The pendulum oscillates with a small angular amplitude $\Theta$. At time $t=0$, the bob is released from rest at the maximum angular displacement ($\theta = \Theta$). Which of the following expressions correctly describes the **Potential Energy** $U(t)$ of the system as a function of time?",$-\Theta\frac{g}{L} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \sin^2\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\frac{g}{L} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta\sqrt{\frac{g}{L}} \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \sin\left(\sqrt{\frac{g}{L}} t\right)$,$-\Theta\sqrt{\frac{g}{L}} \sin\left(\sqrt{\frac{g}{L}} t\right)$,$\Theta \cos\left(\sqrt{\frac{g}{L}} t\right)$,$\frac{1}{2}mgL\Theta^2 \cos^2\left(\sqrt{\frac{g}{L}} t\right)$,,,H,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-20
PHY1-F-N2LCQELEV-100925::q1,PHY1-F-N2LCQELEV-100925,3_Forces,,Steady Upward Speed in an Elevator,1,A passenger stands on a bathroom scale in an elevator that moves upward at a **constant speed**. Compare the normal force $N$ from the scale with the passenger's weight $W$. Which is greater?,N = W,N < W,N > W,There isn't enough information to decide,,,,,,,A,4,,PHY I Mechanics/3_Forces/PHY1-F-N2LCQELEV-100925/PHY1-F-N2LCQELEV-100925.yml,q1
PHY1-F-N2LCQELEV-100925::q2,PHY1-F-N2LCQELEV-100925,3_Forces,,Speeding Up While Moving Up,1,A delivery crate rests on the floor of an elevator. The elevator is moving **upward and speeding up**. Compare the normal force $N$ exerted by the floor with the crate's weight $W$. Which is greater?,N > W,There isn't enough information to decide,N < W,N = W,,,,,,,A,4,,PHY I Mechanics/3_Forces/PHY1-F-N2LCQELEV-100925/PHY1-F-N2LCQELEV-100925.yml,q2
